StockCode,Description,Avg_Price,Min_Price,Max_Price,Total_Quantity,Total_Revenue,Transaction_Count,Competitor_A_Price,Competitor_B_Price,Competitor_C_Price,Market_Avg_Price,Price_vs_Market_Pct,Pricing_Flag
22545,MINI JIGSAW BUNNIES,0.5210169491525424,0.36,0.85,2293,979.38,115,0.48,0.5,0.58,0.52,0.2, Competitive — Monitor
21894,POTTING SHED SEED ENVELOPES,1.65,1.06,2.57,755,977.89,125,1.41,1.61,1.9,1.64,0.6, Competitive — Monitor
22337,ANGEL DECORATION PAINTED ZINC ,0.7928205128205129,0.55,1.3,1597,976.4200000000001,76,0.7,0.84,0.86,0.8,-0.9, Competitive — Monitor
85036B,CHOCOLATE 1 WICK MORRIS BOX CANDLE,4.182307692307693,3.81,4.25,243,974.23,39,3.67,4.22,4.79,4.23,-1.1, Competitive — Monitor
20996,JAZZ HEARTS ADDRESS BOOK,0.5051260504201681,0.16,0.86,3135,973.77,117,0.45,0.51,0.6,0.52,-2.9, Competitive — Monitor
84873a,FUNKY FLOWER PICNIC BAG FOR 4,11.064745762711864,11.02,11.26,88,973.36,59,9.5,10.36,12.31,10.72,3.2, Competitive — Monitor
84985A,SET OF 72 GREEN PAPER DOILIES,1.7811805555555555,0.0,3.04,547,973.18,141,1.68,1.64,2.11,1.81,-1.6, Competitive — Monitor
84910A,PINK PAISLEY CUSHION COVER ,6.025,1.65,21.7,395,972.8,38,5.45,6.47,7.22,6.38,-5.6, Competitive — Monitor
22651,GENTLEMAN SHIRT REPAIR KIT ,1.2063934426229508,0.72,1.66,1087,972.37,117,1.06,1.18,1.29,1.18,2.2, Competitive — Monitor
72814,SET/3 CHRISTMAS BRIAR CANDLES,3.63,0.0,7.78,197,971.6700000000001,59,3.23,3.69,3.94,3.62,0.3, Competitive — Monitor
35004G,SET OF 3 GOLD FLYING DUCKS,6.393770491803278,1.95,13.0,230,971.5699999999999,60,5.72,5.96,7.62,6.43,-0.6, Competitive — Monitor
22307,GOLD MUG BONE CHINA TREE OF LIFE,2.5294444444444446,0.0,8.65,300,968.64,53,2.3,2.6,3.02,2.64,-4.2, Competitive — Monitor
22210,WOOD STAMP SET BEST WISHES,1.8620535714285713,1.45,3.43,584,968.55,109,1.68,1.99,1.98,1.88,-1.0, Competitive — Monitor
85035C,ROSE 3 WICK MORRIS BOX CANDLE,4.621315789473685,3.81,8.47,225,967.13,74,4.35,4.68,4.86,4.63,-0.2, Competitive — Monitor
22546,MINI JIGSAW FIDO,0.5054,0.36,0.85,2280,966.76,97,0.45,0.48,0.54,0.49,3.1, Competitive — Monitor
22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,1.5892,1.25,2.51,699,965.91,75,1.51,1.61,1.91,1.68,-5.4, Competitive — Monitor
22317,FIVE CATS HANGING DECORATION,3.7063414634146343,2.55,6.04,305,965.69,79,3.47,3.86,3.99,3.77,-1.7, Competitive — Monitor
22609,PENS ASSORTED SPACEBALL,1.083653846153846,0.85,1.66,1111,964.5999999999999,52,0.94,1.07,1.22,1.08,0.3, Competitive — Monitor
20735,BLACK MINI TAPE MEASURE ,1.2900980392156862,0.42,2.51,922,963.2299999999999,102,1.22,1.37,1.52,1.37,-5.8, Competitive — Monitor
35810A,ENAMEL PINK COFFEE CONTAINER,2.883711340206186,0.85,4.3,571,962.5500000000001,97,2.48,2.95,3.04,2.82,2.3, Competitive — Monitor
85118,HEART T-LIGHT HOLDER,1.1409411764705881,0.38,2.57,1792,962.48,83,1.06,1.21,1.3,1.19,-4.1, Competitive — Monitor
22843,BISCUIT TIN VINTAGE GREEN,6.913125,5.95,13.57,146,961.54,61,6.14,7.05,7.55,6.91,0.0, Competitive — Monitor
21392,RED SPOTTY PUDDING BOWL,2.431777777777778,0.13,4.3,3864,959.6,44,2.28,2.29,2.87,2.48,-1.9, Competitive — Monitor
72753B,S/3 FLWR FAIRY LAVENDER CANDLES,3.118666666666667,0.0,7.95,422,957.73,15,2.92,3.02,3.41,3.12,-0.0, Competitive — Monitor
21805,WHITE CHRISTMAS TREE DECORATION ,0.5065714285714286,0.36,0.87,2221,957.63,103,0.47,0.48,0.58,0.51,-0.7, Competitive — Monitor
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,1.441098901098901,0.0,2.57,683,955.01,87,1.34,1.54,1.66,1.51,-4.6, Competitive — Monitor
21927,BLUE/CREAM STRIPE CUSHION COVER ,2.1141836734693875,1.06,5.91,635,954.59,98,1.86,2.2,2.29,2.12,-0.3, Competitive — Monitor
21294,ETCHED GLASS COASTER,1.4291549295774648,1.25,2.57,728,953.26,70,1.23,1.47,1.51,1.4,2.1, Competitive — Monitor
84459A,PINK METAL CHICKEN HEART ,2.4435593220338983,1.25,3.43,519,953.01,116,2.18,2.37,2.72,2.42,1.0, Competitive — Monitor
21279,VINTAGE KITCHEN PRINT FRUITS,3.4105,0.25,5.17,1809,952.66,80,2.96,3.24,3.73,3.31,3.0, Competitive — Monitor
22614,PACK OF 12 SPACEBOY TISSUES,0.3780722891566265,0.21,1.0,2753,951.0699999999999,161,0.35,0.39,0.44,0.39,-3.1, Competitive — Monitor
21248,DOOR HANGER  MUM + DADS ROOM,1.5433,0.0,3.43,752,947.27,95,1.37,1.54,1.81,1.57,-1.7, Competitive — Monitor
20762,GREEN FERN SKETCHBOOK ,3.714022988505747,1.25,7.62,356,946.45,87,3.52,3.55,4.15,3.74,-0.7, Competitive — Monitor
22822,CREAM WALL PLANTER HEART SHAPED,6.086285714285714,4.95,12.72,174,946.07,33,5.56,6.2,6.94,6.23,-2.3, Competitive — Monitor
20771,CHRYSANTHEMUM  JOURNAL,2.4744761904761905,0.85,5.17,520,944.75,103,2.31,2.29,2.82,2.47,0.2, Competitive — Monitor
20761,BLUE PAISLEY SKETCHBOOK,3.760659340659341,1.25,7.78,343,942.98,89,3.25,3.66,4.42,3.78,-0.5, Competitive — Monitor
22778,GLASS CLOCHE SMALL,4.936865671641792,3.39,8.47,229,941.07,65,4.62,4.91,5.5,5.01,-1.5, Competitive — Monitor
22774,RED DRAWER KNOB ACRYLIC EDWARDIAN,1.4376363636363636,1.25,2.51,691,939.53,54,1.35,1.36,1.57,1.43,0.5, Competitive — Monitor
21686,MEDINA STAMPED METAL STOOL,35.890625,0.0,39.95,17,938.7500000000001,16,32.26,38.67,39.11,36.68,-2.2, Competitive — Monitor
84616,SILVER ROCCOCO CHANDELIER,19.397368421052633,0.0,29.95,45,938.35,19,17.66,18.49,21.93,19.36,0.2, Competitive — Monitor
84536A,ENGLISH ROSE NOTEBOOK A7 SIZE,0.5349333333333333,0.42,0.85,2054,937.16,288,0.5,0.5,0.6,0.53,0.9, Competitive — Monitor
22438,BALLOON ART MAKE YOUR OWN FLOWERS,2.1304651162790695,1.65,4.21,480,936.82,79,1.85,2.03,2.38,2.09,1.9, Competitive — Monitor
21316,SMALL CHUNKY GLASS ROMAN  BOWL,2.990857142857143,0.0,5.91,518,934.3399999999999,35,2.69,3.12,3.18,3.0,-0.3, Competitive — Monitor
22926,IVORY GIANT GARDEN THERMOMETER,6.522,4.95,11.87,157,933.6700000000001,48,5.8,6.44,7.55,6.6,-1.2, Competitive — Monitor
21849,SILVER DIAMANTE PEN IN GIFT BOX,3.6963157894736844,1.25,4.95,389,933.15,75,3.2,3.74,4.0,3.65,1.3, Competitive — Monitor
85189,HANGING BUTTERFLY  EGG,0.9009722222222223,0.0,1.66,1059,933.0999999999999,71,0.8,0.83,0.97,0.87,3.6, Competitive — Monitor
21299,EDWARDIAN TOILET ROLL UNIT ,10.35897435897436,0.0,26.04,152,932.95,39,8.88,9.59,11.52,10.0,3.6, Competitive — Monitor
47504E,ENGLISH ROSE SCISSORS,1.7753999999999999,0.0,4.3,4071,931.86,50,1.51,1.76,1.92,1.73,2.6, Competitive — Monitor
85018D,YULETIDE IMAGES S/6 PAPER BOXES,2.1785185185185183,0.85,5.17,766,931.65,79,1.88,2.29,2.48,2.22,-1.9, Competitive — Monitor
21814,HEART T-LIGHT HOLDER ,1.807,0.0,3.04,583,930.9399999999999,84,1.71,1.92,2.0,1.88,-3.9, Competitive — Monitor
84664,CHERRY BLOSSOM BATHROOM CABINET,4.858333333333333,0.0,4.95,178,930.6,54,4.4,4.54,5.43,4.79,1.4, Competitive — Monitor
21904,HOUSE WRECKING METAL SIGN ,2.0706976744186045,0.0,4.3,589,929.4200000000001,128,1.96,2.08,2.34,2.13,-2.8, Competitive — Monitor
84678,CLASSICAL ROSE SMALL VASE,2.875625,1.25,5.17,473,928.8499999999999,74,2.57,3.07,3.11,2.92,-1.5, Competitive — Monitor
20772,GARDEN PATH JOURNAL,2.4070192307692304,0.85,5.06,578,927.6099999999999,102,2.12,2.36,2.58,2.35,2.4, Competitive — Monitor
21358,TOAST ITS - HAPPY BIRTHDAY,1.3826050420168068,1.05,2.51,734,926.68,119,1.25,1.46,1.63,1.45,-4.6, Competitive — Monitor
35965,FOLKART HEART NAPKIN RINGS,3.8090434782608695,0.0,6.04,254,925.0300000000001,113,3.41,3.59,4.25,3.75,1.6, Competitive — Monitor
85160A,WHITE BIRD GARDEN DESIGN MUG,5.210909090909091,0.0,16.48,4729,924.6500000000001,33,4.48,5.57,5.79,5.28,-1.3, Competitive — Monitor
20778,GARDEN PATH NOTEBOOK ,1.7930337078651684,0.0,3.43,3588,922.91,87,1.64,1.87,1.89,1.8,-0.4, Competitive — Monitor
22143,CHRISTMAS CRAFT HEART DECORATIONS,2.4249367088607596,0.0,4.3,384,921.8800000000001,76,2.11,2.6,2.73,2.48,-2.2, Competitive — Monitor
22288,"DECORATION , HANGING METAL RABBIT",1.5763235294117646,0.7,2.57,841,920.3299999999999,65,1.44,1.62,1.79,1.62,-2.7, Competitive — Monitor
21285,RETRO SPOT CANDLE  MEDIUM,2.4723333333333333,0.65,4.3,623,919.3900000000001,60,2.26,2.42,2.8,2.49,-0.7, Competitive — Monitor
22051,BLUE SCANDINAVIAN PAISLEY WRAP,0.418974358974359,0.34,0.42,2225,918.5,78,0.36,0.45,0.48,0.43,-2.6, Competitive — Monitor
84686,BEACH HUT MIRROR,6.100694444444445,0.0,8.65,276,918.0,72,5.22,5.88,6.57,5.89,3.6, Competitive — Monitor
84535B,FAIRY CAKES NOTEBOOK A6 SIZE,0.803475935828877,0.0,1.52,1396,916.98,181,0.75,0.78,0.87,0.8,0.4, Competitive — Monitor
22338,STAR DECORATION PAINTED ZINC ,0.7892631578947369,0.55,1.3,1397,915.34,94,0.71,0.81,0.92,0.81,-2.6, Competitive — Monitor
21007,ETCHED GLASS DROPLET DECORATION,1.1328,0.0,3.43,1811,914.6700000000001,50,0.97,1.18,1.35,1.17,-3.2, Competitive — Monitor
84913B,MINT GREEN ROSE TOWEL,3.72704,3.36,9.52,245,913.65,125,3.54,3.98,3.99,3.84,-2.9, Competitive — Monitor
21815, STAR  T-LIGHT HOLDER ,1.81873417721519,0.0,3.04,543,913.0899999999999,75,1.56,1.73,2.05,1.78,2.2, Competitive — Monitor
22676,"FRENCH BLUE METAL DOOR SIGN, 1",1.5200892857142858,0.0,2.51,693,910.38,111,1.4,1.59,1.64,1.54,-1.3, Competitive — Monitor
82607A,GLASS BONBON JAR PARFUME AUX FLEURE,1.7602941176470588,0.0,2.57,611,909.97,168,1.67,1.83,1.86,1.79,-1.7, Competitive — Monitor
85226A,WHITE/BLUE PULL BACK RACING CAR,0.717639751552795,0.0,1.7,1346,909.97,152,0.63,0.67,0.79,0.7,2.5, Competitive — Monitor
21303,FILIGREE WALL MIRROR  ANTIQUE WHITE,13.455135135135134,0.0,34.74,61,909.09,37,11.63,13.21,14.42,13.09,2.8, Competitive — Monitor
22211,WOOD STAMP SET FLOWERS,1.9694117647058824,1.45,3.43,528,908.2099999999999,98,1.7,1.9,2.28,1.96,0.5, Competitive — Monitor
22897,OVEN MITT APPLE DESIGN,1.6085263157894738,0.0,2.98,622,907.91,95,1.42,1.56,1.82,1.6,0.5, Competitive — Monitor
85124C,GREEN JUICY FRUIT PHOTO FRAME,3.0153333333333334,2.1,5.17,349,907.86,90,2.59,3.25,3.23,3.02,-0.2, Competitive — Monitor
84709B,PINK OVAL JEWELLED MIRROR,5.8500000000000005,0.0,6.04,187,907.38,79,5.38,5.98,6.15,5.84,0.2, Competitive — Monitor
21763,VINTAGE WOODEN BAR STOOL,24.779411764705884,0.0,29.95,24,906.3,17,21.22,25.64,29.02,25.29,-2.0, Competitive — Monitor
21689,SILVER VANILLA  FLOWER CANDLE POT,3.97,3.39,8.47,249,905.75,35,3.58,4.27,4.27,4.04,-1.7, Competitive — Monitor
22955,36 FOIL STAR CAKE CASES ,2.1555223880597016,1.85,4.21,442,905.4200000000001,59,2.05,2.11,2.46,2.21,-2.5, Competitive — Monitor
21070,VINTAGE BILLBOARD MUG ,1.5525,0.38,2.57,926,905.2,128,1.45,1.63,1.71,1.6,-3.0, Competitive — Monitor
21335,LIBRARY LAMP,22.68914285714286,0.0,43.43,-10,904.8199999999999,35,20.68,22.45,25.82,22.98,-1.3, Competitive — Monitor
84466,TOP SECRET PEN SET,1.5802631578947368,0.0,2.57,674,902.76,73,1.39,1.67,1.73,1.6,-1.2, Competitive — Monitor
37330,SPOTS MUG,2.25,0.0,4.3,215,902.0199999999999,31,2.05,2.14,2.39,2.19,2.7, Competitive — Monitor
20902,VINTAGE KEEPSAKE BOX PARIS DAYS,11.510769230769231,1.95,13.0,100,901.94,65,10.39,12.34,12.47,11.73,-1.9, Competitive — Monitor
85121C,RETRO LAUNDRY TUB PISTACHIO,9.753272727272728,0.0,17.35,81,901.91,55,8.71,9.31,10.52,9.51,2.6, Competitive — Monitor
20773,BLUE PAISLEY NOTEBOOK,1.7397142857142855,0.0,3.43,3274,899.6299999999999,101,1.5,1.69,1.94,1.71,1.7, Competitive — Monitor
84789,ENCHANTED BIRD PLANT CAGE,4.0281927710843375,2.95,7.62,253,899.04,82,3.78,4.19,4.63,4.2,-4.1, Competitive — Monitor
37492B,BLUE YELLOW FLOWER PIGGY BANK,3.7274000000000003,1.65,9.52,471,899.0199999999999,50,3.34,3.66,4.06,3.69,1.0, Competitive — Monitor
70007,HI TEC ALPINE HAND WARMER,2.2014754098360654,0.79,3.43,528,898.8599999999999,116,1.91,2.24,2.32,2.16,1.9, Competitive — Monitor
20913,SET/5 BLUE SPOTTY LID GLASS BOWLS,3.555,0.0,6.04,163,898.7199999999999,46,3.15,3.52,4.01,3.56,-0.1, Competitive — Monitor
21444,BLUE CHALET BIRDFEEDER,5.273157894736842,0.0,7.78,280,898.2800000000001,38,4.7,5.48,6.02,5.4,-2.3, Competitive — Monitor
85031A,ROMANTIC IMAGES SCRAP BOOK SET,3.4812499999999997,0.0,4.95,452,897.54,96,3.25,3.33,4.16,3.58,-2.8, Competitive — Monitor
17109B,FLOWER FAIRY INCENSE LAVENDER,1.177894736842105,0.0,3.43,4409,896.3399999999999,19,1.09,1.09,1.34,1.17,0.7, Competitive — Monitor
85031B,BLOSSOM IMAGES SCRAP BOOK SET,3.3405813953488375,0.0,4.95,500,896.09,85,3.1,3.23,3.74,3.36,-0.6, Competitive — Monitor
22025,RING OF ROSES BIRTHDAY CARD,0.5257763975155278,0.36,0.86,2164,894.92,160,0.45,0.52,0.6,0.52,1.1, Competitive — Monitor
85197,SET OF 12 MINI BUNNIES IN A BUCKET,2.013666666666667,0.0,2.1,1568,894.36,56,1.8,1.91,2.39,2.03,-0.8, Competitive — Monitor
84818,DANISH ROSE PHOTO FRAME,2.634152542372881,2.1,5.17,354,893.39,118,2.37,2.57,3.09,2.68,-1.7, Competitive — Monitor
21580,RABBIT  DESIGN  COTTON TOTE BAG,2.8105217391304347,1.75,5.17,364,892.31,114,2.39,2.77,3.09,2.75,2.2, Competitive — Monitor
84658,WHITE STITCHED CUSHION COVER,6.802765957446809,1.65,21.23,172,891.6800000000001,45,5.96,6.32,7.39,6.56,3.7, Competitive — Monitor
79323G,GOLD  CHERRY LIGHTS,7.108426966292135,0.0,13.87,997,889.4300000000001,88,6.58,7.2,7.74,7.17,-0.9, Competitive — Monitor
85177,BASKET OF FLOWERS SEWING KIT,0.9834117647058824,0.85,1.66,1025,889.0699999999999,85,0.85,1.04,1.11,1.0,-1.7, Competitive — Monitor
47589,CONGRATULATIONS BUNTING,5.52144578313253,0.0,11.26,133,888.83,80,4.99,5.21,6.41,5.54,-0.3, Competitive — Monitor
22716,CARD CIRCUS PARADE,0.5011046511627907,0.36,0.85,2105,888.75,172,0.44,0.51,0.56,0.5,0.2, Competitive — Monitor
22803,IVORY EMBROIDERED QUILT ,37.550000000000004,35.75,39.95,24,887.4,14,31.96,38.54,39.81,36.77,2.1, Competitive — Monitor
21195,PINK  HONEYCOMB PAPER BALL ,3.1977333333333333,1.69,4.3,324,885.64,75,2.8,3.16,3.7,3.22,-0.7, Competitive — Monitor
21289,LARGE STRIPES CHOCOLATE GIFT BAG,1.3550877192982456,0.38,2.57,882,885.56,55,1.28,1.4,1.59,1.42,-4.6, Competitive — Monitor
21991,BOHEMIAN COLLAGE STATIONERY SET,2.845056179775281,1.25,6.04,483,885.25,87,2.65,2.8,3.11,2.85,-0.2, Competitive — Monitor
21480,PINK STRIPE HOT WATER BOTTLE,3.743114754098361,0.0,6.04,257,884.7700000000001,59,3.54,3.75,4.3,3.86,-3.0, Competitive — Monitor
84559B,3D SHEET OF CAT STICKERS,1.0494630872483222,0.85,1.73,997,884.7299999999999,148,0.94,0.97,1.17,1.03,1.9, Competitive — Monitor
20991,JAZZ HEARTS MAGNETIC MEMO PAD,0.9227272727272728,0.0,1.3,6950,884.5600000000002,33,0.79,0.95,1.09,0.94,-1.8, Competitive — Monitor
21720,CAKE SHOP  STICKER SHEET,1.0362037037037037,0.72,1.7,1013,883.06,107,0.94,1.06,1.22,1.07,-3.2, Competitive — Monitor
22254,FELT TOADSTOOL LARGE,1.4318367346938774,1.25,2.57,682,881.66,95,1.28,1.33,1.62,1.41,1.5, Competitive — Monitor
85135B,BLUE DRAGONFLY HELICOPTER,8.054777777777778,0.0,8.65,54,880.5,89,7.53,7.88,9.29,8.23,-2.1, Competitive — Monitor
21634,ASSORTED MINI MADRAS NOTEBOOK,1.7025,1.25,2.57,676,879.56,48,1.46,1.83,2.01,1.77,-3.8, Competitive — Monitor
72799A,BLACK PILLAR CANDLE SILVER FLOCK,2.104761904761905,0.0,2.95,628,877.8000000000001,21,1.89,2.08,2.37,2.11,-0.2, Competitive — Monitor
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,14.624347826086957,0.0,26.04,49,876.46,45,12.65,14.63,16.04,14.44,1.3, Competitive — Monitor
21338,MARAKESH LANTERN SMALL ,5.525,0.0,13.0,199,873.25,15,4.88,5.89,6.43,5.73,-3.6, Competitive — Monitor
85165,CANDY PINK FRENCH BOUDOIR CLOCK,9.880666666666666,0.0,20.83,83,872.76,60,9.13,10.22,10.7,10.02,-1.4, Competitive — Monitor
21426,WOODLAND STORAGE BOX SMALL,2.55741935483871,0.85,5.06,673,871.59,61,2.3,2.59,2.83,2.57,-0.5, Competitive — Monitor
21414,SCALLOP SHELL SOAP DISH,2.8460526315789476,0.0,4.3,1613,866.6899999999999,37,2.53,2.98,3.36,2.96,-3.8, Competitive — Monitor
35598D,PINK/WHITE CHRISTMAS TREE 60CM,1.7917142857142856,0.65,2.57,1080,866.16,70,1.59,1.9,2.08,1.86,-3.7, Competitive — Monitor
21189,WHITE HONEYCOMB PAPER GARLAND ,2.3593103448275863,1.45,3.43,459,865.6199999999999,57,2.11,2.34,2.62,2.36,-0.0, Competitive — Monitor
85166B,BLACK METAL BAROQUE PHOTO FRAME,3.7487179487179483,0.0,7.78,496,864.1,39,3.48,3.73,4.06,3.76,-0.3, Competitive — Monitor
22363,temp,3.4072277227722774,0.0,5.91,381,863.6,100,3.2,3.35,3.76,3.44,-1.0, Competitive — Monitor
22214,CANDLE PLATE LACE WHITE,2.8641666666666667,2.1,5.17,356,863.1899999999999,36,2.71,3.08,3.13,2.97,-3.6, Competitive — Monitor
21425,SKULLS STORAGE BOX LARGE,3.8423287671232877,1.25,6.77,387,862.99,73,3.57,3.96,4.14,3.89,-1.2, Competitive — Monitor
37424,WHITE WITH BLACK CATS MUG,1.2541964285714287,0.0,1.7,3004,861.8199999999999,110,1.11,1.17,1.46,1.25,0.3, Competitive — Monitor
21478,SILVER SKULL HOT WATER BOTTLE ,4.136990291262136,0.0,7.78,418,861.73,99,3.8,4.38,4.5,4.23,-2.2, Competitive — Monitor
21721,CANDY SHOP  STICKER SHEET,1.1708196721311475,0.72,1.7,943,861.56,121,1.05,1.17,1.31,1.18,-0.8, Competitive — Monitor
22103,MIRROR MOSAIC T-LIGHT HOLDER ROUND,1.989787234042553,1.25,3.43,503,860.65,46,1.74,1.85,2.2,1.93,3.1, Competitive — Monitor
20765,CHRYSANTHEMUM SKETCHBOOK ,3.675670103092784,1.25,7.62,343,860.26,94,3.43,3.7,4.4,3.84,-4.3, Competitive — Monitor
85129D,BEADED CRYSTAL HEART PINK SMALL,1.8337837837837836,0.0,2.57,551,859.59,108,1.57,1.81,2.03,1.8,1.9, Competitive — Monitor
84578,ELEPHANT TOY WITH BLUE T-SHIRT,3.8342241379310344,0.0,4.3,171,858.66,113,3.6,4.07,4.07,3.91,-1.9, Competitive — Monitor
17033,"BROCADE PURSE,SMALL ARCH BUTTON",0.27369863013698625,0.0,0.29,896,857.4,73,0.25,0.26,0.29,0.27,1.4, Competitive — Monitor
22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,1.450625,1.25,2.51,634,856.9399999999999,59,1.33,1.53,1.65,1.5,-3.3, Competitive — Monitor
85049a,TRADITIONAL CHRISTMAS RIBBONS,3.36,3.36,3.36,255,856.8,17,3.08,3.39,3.83,3.43,-2.0, Competitive — Monitor
85032D,YULETIDE IMAGES GIFT WRAP SET,1.9462264150943398,0.65,2.1,506,856.44,52,1.83,1.81,2.17,1.94,0.3, Competitive — Monitor
22706,WRAP COWBOYS  ,0.4157894736842105,0.34,0.42,2190,855.8,57,0.38,0.45,0.46,0.43,-3.3, Competitive — Monitor
22050,PINK PAISLEY ROSE GIFT WRAP,0.4189610389610389,0.34,0.42,2075,855.5,77,0.38,0.42,0.44,0.41,2.2, Competitive — Monitor
10133,COLOURING PENCILS BROWN TUBE,0.9418627450980391,0.72,1.7,1005,854.87,102,0.81,0.91,1.06,0.93,1.3, Competitive — Monitor
85071A,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,2.4778947368421056,0.38,2.95,873,853.11,37,2.23,2.47,2.79,2.5,-0.9, Competitive — Monitor
72803A,ROSE SCENT CANDLE JEWELLED DRAWER,4.449999999999999,3.81,8.65,200,852.28,60,3.85,4.7,4.77,4.44,0.2, Competitive — Monitor
84559A,3D SHEET OF DOG STICKERS,1.0304081632653062,0.85,1.73,962,851.9,144,0.95,1.0,1.1,1.02,1.0, Competitive — Monitor
22265,EASTER DECORATION NATURAL CHICK,0.7562162162162162,0.55,1.3,1313,849.4100000000001,106,0.68,0.72,0.81,0.74,2.2, Competitive — Monitor
84637,KITCHEN FLOWER POTS WALL PLAQUE,7.3225,1.25,13.0,470,847.62,32,6.72,6.89,7.8,7.14,2.6, Competitive — Monitor
20622,VIPPASSPORT COVER ,2.837710843373494,1.69,4.3,404,847.03,81,2.42,2.75,3.24,2.8,1.3, Competitive — Monitor
84659A,WHITE TRAVEL ALARM CLOCK,2.612972972972973,2.51,5.17,329,845.9499999999999,145,2.24,2.73,2.82,2.6,0.5, Competitive — Monitor
85099f,JUMBO BAG STRAWBERRY,5.06,5.06,5.06,167,845.02,17,4.66,5.04,5.5,5.07,-0.2, Competitive — Monitor
85121B,RETRO LAUNDRY TUB PINK,11.060526315789474,0.0,17.35,69,843.24,57,9.48,10.58,11.9,10.65,3.9, Competitive — Monitor
21292,SMALL STRIPES CHOCOLATE GIFT BAG ,0.7907575757575758,0.19,1.7,1594,842.8,66,0.68,0.75,0.94,0.79,0.1, Competitive — Monitor
85231L,LAVENDER SCENTED SET/9 T-LIGHTS,0.8915447154471544,0.0,1.7,779,841.75,119,0.76,0.87,1.05,0.89,0.2, Competitive — Monitor
21942,SKULLS DESIGN FLANNEL,1.2248091603053435,0.38,1.7,1390,841.29,131,1.16,1.31,1.33,1.27,-3.6, Competitive — Monitor
20759,CHRYSANTHEMUM POCKET BOOK ,0.7254347826086956,0.0,0.85,5588,840.98,46,0.67,0.71,0.8,0.73,-0.6, Competitive — Monitor
40018E,TEA TIME PAPER LANTERNS,2.725116279069767,0.0,4.3,398,840.92,84,2.41,2.94,2.95,2.77,-1.6, Competitive — Monitor
22040,BOTANICAL ROSE GIFT WRAP,0.4151515151515151,0.34,0.42,2090,839.8,66,0.37,0.41,0.47,0.42,-1.2, Competitive — Monitor
21255,"FRENCH BOTTLE , LAVENDER",2.302970297029703,0.0,3.43,380,838.6299999999999,101,2.04,2.18,2.42,2.21,4.2, Competitive — Monitor
17039,INLAID WOOD INCENSE HOLDER,0.3688636363636364,0.0,0.65,2480,837.88,44,0.34,0.39,0.42,0.38,-2.9, Competitive — Monitor
84762B,PINK PICNIC BARBECUE BUCKET,8.603265306122449,0.0,10.75,111,837.77,49,7.88,8.55,9.71,8.71,-1.2, Competitive — Monitor
16016,LARGE CHINESE STYLE SCISSOR,0.8326666666666667,0.72,0.85,1065,837.65,45,0.72,0.86,0.99,0.86,-3.2, Competitive — Monitor
72800D,S/4 BLUE DINNER CANDLE SILVER FLOCK,2.693548387096774,0.79,5.17,561,836.89,57,2.34,2.9,2.89,2.71,-0.6, Competitive — Monitor
22786,PILLOWCUSHION COVER PINK UNION JACK,6.606037735849057,0.0,16.13,122,836.3000000000001,50,5.68,6.13,7.73,6.51,1.5, Competitive — Monitor
77101A,UNION FLAG WINDSOCK,1.543768115942029,1.06,2.57,700,835.28,67,1.41,1.44,1.8,1.55,-0.4, Competitive — Monitor
20774,GREEN FERN NOTEBOOK,1.763855421686747,0.0,3.43,3436,834.44,81,1.63,1.83,1.89,1.78,-0.9, Competitive — Monitor
84905,PINK BUTTERFLY C/COVER ,5.045529411764706,1.25,10.39,234,834.43,85,4.42,4.87,5.6,4.96,1.7, Competitive — Monitor
20776,ABSTRACT CIRCLES NOTEBOOK,1.7407954545454545,0.0,3.43,3259,834.31,86,1.48,1.65,1.87,1.67,4.2, Competitive — Monitor
20755,BLUE PAISLEY POCKET BOOK,0.8501538461538461,0.1,1.7,4855,833.78,65,0.73,0.79,0.93,0.82,3.7, Competitive — Monitor
21185, HOME SWEET HOME  BLACKBOARD,7.006122448979592,0.0,13.0,108,831.8399999999999,49,6.63,6.47,7.63,6.91,1.4, Competitive — Monitor
21059,PARTY INVITES DINOSAURS,0.8828787878787878,0.72,1.66,998,831.38,131,0.78,0.92,1.0,0.9,-1.9, Competitive — Monitor
22705,WRAP GREEN PEARS ,0.42,0.42,0.42,1975,829.5,79,0.39,0.4,0.47,0.42,0.0, Competitive — Monitor
20758,ABSTRACT CIRCLES POCKET BOOK,0.7822807017543859,0.0,1.7,5088,828.4699999999999,57,0.71,0.78,0.93,0.81,-3.4, Competitive — Monitor
21159,MOODY BOY  DOOR HANGER ,1.6202290076335877,0.38,3.43,914,826.37,130,1.44,1.65,1.73,1.61,0.6, Competitive — Monitor
21552,CERAMIC BIRDHOUSE BLACK ROSE  LARGE,5.790476190476191,0.0,13.0,151,825.7,40,5.04,5.72,6.93,5.9,-1.9, Competitive — Monitor
85034C,3 ROSE MORRIS BOXED CANDLES,5.445,3.81,8.65,189,825.37,44,4.69,5.03,5.91,5.21,4.5, Competitive — Monitor
21666, RIDGED GLASS T-LIGHT HOLDER,0.7927659574468084,0.55,1.7,1352,825.2500000000001,45,0.72,0.83,0.92,0.82,-3.3, Competitive — Monitor
